"","x"
"fungi_ASV_207",692
"fungi_ASV_208",669
"fungi_ASV_210",696
"fungi_ASV_217",625
"fungi_ASV_223",619
"fungi_ASV_226",610
"fungi_ASV_229",612
"fungi_ASV_234",610
"fungi_ASV_236",627
"fungi_ASV_241",586
"fungi_ASV_243",555
"fungi_ASV_245",579
"fungi_ASV_250",558
"fungi_ASV_251",603
"fungi_ASV_254",559
"fungi_ASV_260",499
"fungi_ASV_262",517
"fungi_ASV_266",480
"fungi_ASV_267",506
"fungi_ASV_275",463
"fungi_ASV_276",493
"fungi_ASV_279",503
"fungi_ASV_280",445
"fungi_ASV_283",487
"fungi_ASV_284",446
"fungi_ASV_286",476
"fungi_ASV_287",429
"fungi_ASV_290",443
"fungi_ASV_292",449
"fungi_ASV_293",478
"fungi_ASV_297",437
"fungi_ASV_299",396
"fungi_ASV_300",441
"fungi_ASV_309",438
"fungi_ASV_310",467
"fungi_ASV_311",399
"fungi_ASV_314",448
"fungi_ASV_321",421
"fungi_ASV_334",395
"fungi_ASV_341",391
"fungi_ASV_343",385
"fungi_ASV_345",384
"fungi_ASV_346",342
"fungi_ASV_350",403
"fungi_ASV_362",345
"fungi_ASV_363",339
"fungi_ASV_378",296
"fungi_ASV_382",319
"fungi_ASV_384",289
"fungi_ASV_400",294
"fungi_ASV_401",259
"fungi_ASV_415",286
"fungi_ASV_427",272
"fungi_ASV_433",283
"fungi_ASV_441",261
"fungi_ASV_449",272
"fungi_ASV_463",245
"fungi_ASV_470",226
"fungi_ASV_477",234
"fungi_ASV_484",237
"fungi_ASV_503",206
"fungi_ASV_512",192
"fungi_ASV_530",198
"fungi_ASV_547",193
"fungi_ASV_553",181
"fungi_ASV_579",180
"fungi_ASV_614",164
"fungi_ASV_624",151
"fungi_ASV_660",136
"fungi_ASV_661",127
"fungi_ASV_665",147
"fungi_ASV_677",131
"fungi_ASV_683",132
"fungi_ASV_713",122
"fungi_ASV_737",126
"fungi_ASV_767",109
